timestamp,tipo_evento,categoria,nome,cpf,unidade,status,observacao,hora,minuto,dia_da_semana,anomalia,score de anomalia,tsne1,tsne2
2025-05-19 12:41:46,ACCESS_GRANTED,Visitante,pedro,1524839336,46,Autorizado,admin,12,41,0,1,-0.09259964039292368,156.98975,299.1577
2025-05-13 20:23:26,ACCESS_DENIED,Visitante,Rafael Mota,18618418941,46,NÃ£o autorizado,data expirada,20,23,1,1,-0.08826240790371653,-302.76746,116.811554
2025-05-19 13:03:00,ACCESS_GRANTED,Visitante,lucas silva,958472910,14A,Autorizado,Morador,13,3,0,0,0.064020587453054,111.97522,126.1614
2025-05-19 13:03:15,ACCESS_GRANTED,Entregador,fernanda costa,1029384756,9,Autorizado,Morador,13,3,0,0,0.064020587453054,111.97522,126.1614
2025-05-19 13:04:01,ACCESS_GRANTED,Prestador de ServiÃ§o,marcelo almeida,65748392011,33C,Autorizado,Morador,13,4,0,0,0.064020587453054,111.97522,126.1614
2025-05-25 14:21:10,ACCESS_GRANTED,Visitante,ana paula,746291837,27B,Autorizado,Morador,14,21,6,0,0.007102868210802027,-101.81382,-206.70268
2025-05-19 14:21:22,ACCESS_GRANTED,Entregador,jose henrique,8491028374,17A,Autorizado,Morador,14,21,0,0,0.06359065835265892,-37.024803,170.67638
2025-05-20 15:11:45,ACCESS_GRANTED,Prestador de ServiÃ§o,rafael lima,10394857621,02,Autorizado,carlos,15,11,1,1,-0.07183957758325954,447.64835,-191.40504
2025-05-20 15:12:15,ACCESS_GRANTED,Visitante,juliana dias,485739201,45D,Autorizado,Morador,15,12,1,0,0.11205241777376301,176.25038,-36.752907
2025-05-20 15:12:32,ACCESS_GRANTED,Entregador,daniel souza,1209384756,12B,Autorizado,Morador,15,12,1,0,0.11205241777376301,176.25038,-36.752907
2025-05-20 04:12:45,ACCESS_GRANTED,Visitante,Etevaldo,184845618,27,Autorizado,Morador,4,12,1,0,-0.0228556899015403,199.0066,-339.32678
2025-05-20 15:12:45,ACCESS_GRANTED,Visitante,carla,123456789,46,Autorizado,Morador,15,12,1,0,0.11205241777376301,176.25038,-36.752907
2025-05-20 15:13:00,ACCESS_GRANTED,Visitante,lucas,987654321,46,Autorizado,Morador,15,13,1,0,0.11205241777376301,176.25038,-36.752907
2025-05-20 15:13:15,ACCESS_DENIED,Visitante,rafael,1234567890,46,NÃ£o autorizado,data expirada,15,13,1,1,-0.08791182368596995,-235.1727,214.88841
2025-05-13 20:23:26,ACCESS_DENIED,Visitante,Carlos Alberto,8484518484,46,NÃ£o autorizado,data expirada,20,23,1,1,-0.08826240790371653,-302.76746,116.811554
2025-05-21 16:21:34,ACCESS_GRANTED,Visitante,ana beatriz,8593029483,15C,Autorizado,Morador,16,21,2,0,0.12449937865923227,57.382988,-172.88872
2025-05-21 16:23:10,ACCESS_GRANTED,Entregador,joÃ£o pedro,3948571028,08A,Autorizado,Morador,16,23,2,0,0.12449937865923227,57.382988,-172.88872
2025-05-25 16:25:55,ACCESS_GRANTED,Prestador de ServiÃ§o,marcelo silva,9283746510,22,Autorizado,admin,16,25,6,1,-0.029284780139195332,-146.87846,-406.74484
2025-05-21 16:28:44,ACCESS_DENIED,Visitante,bruno oliveira,1231231230,33,NÃ£o autorizado,fora do horÃ¡rio,16,28,2,1,-0.09001075099805322,-433.41446,230.16084
2025-05-21 16:31:02,ACCESS_GRANTED,Visitante,laura martins,5647382910,09,Autorizado,Morador,16,31,2,0,0.12449937865923227,57.382988,-172.88872
2025-05-21 16:34:17,ACCESS_DENIED,Entregador,renato costa,8392018473,12B,NÃ£o autorizado,cadastro inexistente,16,34,2,1,-0.08705912713642106,-433.41446,230.16084
2025-05-21 16:36:45,ACCESS_GRANTED,Visitante,vinicius leal,9182736455,18A,Autorizado,Morador,16,36,2,0,0.12449937865923227,57.382988,-172.88872
2025-05-21 03:39:10,ACCESS_GRANTED,Prestador de ServiÃ§o,adriana souza,7382910456,01,Autorizado,Morador,3,39,2,1,-0.04288040127327564,275.7334,-229.72044
2025-05-21 16:42:22,ACCESS_DENIED,Visitante,pedro henrique,5647382910,09,NÃ£o autorizado,documento invÃ¡lido,16,42,2,1,-0.08399169585917787,-210.80904,386.0754
2025-05-21 16:44:55,ACCESS_GRANTED,Entregador,fernando ramos,9382716450,07C,Autorizado,Morador,16,44,2,0,0.12449937865923227,57.382988,-172.88872
2025-05-22 16:48:12,ACCESS_GRANTED,Visitante,julia fernandes,1827364510,20D,Autorizado,Morador,16,48,3,0,0.11275651549874266,-37.071316,-3.2782516
2025-05-22 16:50:39,ACCESS_GRANTED,Prestador de ServiÃ§o,carlos mendes,9182736450,17,Autorizado,Morador,16,50,3,0,0.11275651549874266,-37.071316,-3.2782516
2025-05-22 16:52:21,ACCESS_DENIED,Visitante,talita dias,8473629102,30,NÃ£o autorizado,autorizaÃ§Ã£o vencida,16,52,3,1,-0.106522075636162,-62.037037,352.3996
2025-05-22 16:54:10,ACCESS_GRANTED,Visitante,ricardo alves,5647382910,13A,Autorizado,Morador,16,54,3,0,0.11275651549874266,-37.071316,-3.2782516
2025-05-22 16:55:55,ACCESS_GRANTED,Entregador,silvio santos,1234567891,26B,Autorizado,Morador,16,55,3,0,0.11275651549874266,-37.071316,-3.2782516
2025-05-22 16:57:23,ACCESS_GRANTED,Visitante,marcia silva,1092837465,05,Autorizado,Morador,16,57,3,0,0.11275651549874266,-37.071316,-3.2782516
2025-05-24 16:59:48,ACCESS_DENIED,Prestador de ServiÃ§o,rita lopes,8372910348,14,NÃ£o autorizado,nÃ£o consta na lista,16,59,5,1,-0.10851969103430581,-420.20184,-42.778744
2025-05-24 17:01:35,ACCESS_GRANTED,Visitante,luan pereira,5647382910,02B,Autorizado,Morador,17,1,5,0,0.03719446487045164,-188.18983,-92.74051
2025-05-24 17:03:00,ACCESS_GRANTED,Visitante,aline costa,1029384756,46,Autorizado,Morador,17,3,5,0,0.03719446487045164,-188.18983,-92.74051
2025-05-24 17:05:16,ACCESS_DENIED,Entregador,diego silva,8473629102,08C,NÃ£o autorizado,documento invÃ¡lido,17,5,5,1,-0.1175416582704979,-308.5526,387.34274
2025-05-24 15:40:05,ACCESS_GRANTED,Entregador,leandro,585546632325,4,Autorizado,admin,15,40,5,1,-0.04145584308120942,-26.858421,-364.9238
2025-05-20 15:41:51,ACCESS_GRANTED,Prestador de ServiÃ§o,Fernando,184846269,23,Autorizado,morador,15,41,1,0,-0.007102868210802082,367.02893,21.19536
2025-05-18 15:55:27,ACCESS_GRANTED,Prestador de ServiÃ§o,Felipe,65982929,22,Autorizado,morador,15,55,6,1,-0.06984442245097255,437.31586,159.51366
2025-05-20 15:58:06,ACCESS_GRANTED,Visitante,Kaique,659592928,11,Autorizado,morador,15,58,1,0,-0.007102868210802082,367.02893,21.19536
2025-05-20 16:01:00,ACCESS_GRANTED,Prestador de ServiÃ§o,Sergio,62223326288,2A,Autorizado,morador,16,1,1,0,-0.04657925884881897,299.1403,159.24767
2025-05-25 17:48:06,ACCESS_GRANTED,Entregador,pedro,15451146516,14,Autorizado,admin,17,48,6,1,-0.022403735205575925,-232.73495,-291.9268
2025-05-25 17:50:36,ACCESS_GRANTED,Prestador de ServiÃ§o,pedro teste,458775125,67,Autorizado,admin,17,50,6,1,-0.022403735205575925,-232.73495,-291.9268
