timestamp,tipo_evento,Nome,documento,local,status,observacao,hora,minuto,dia_da_semana,anomalia,score de anomalia
2025-05-18 12:05:46,ACCESS_GRANTED,pedro,1524839336,Portao A,Autorizado,entrada,12,5,6,0,0.022610725324121783
2025-05-13 12:23:26,ACCESS_DENIED,Ana Carolina Santos,12345678901,Portao C,Ṇo autorizado,data expirada,12,23,1,1,-0.14906833946066766
2025-05-13 13:23:26,ACCESS_DENIED,Desconhecido,,Portao C,Ṇo autorizado,Desconhecido,13,23,1,1,-0.06326409051116022
2025-05-18 13:41:46,ACCESS_GRANTED,Felipe Xavier Souza,67890123456,Portao A,Autorizado,entrada,13,41,6,0,0.03878114004604516
2025-05-18 13:51:46,ACCESS_GRANTED,pedro,1524839336,Portao A,Autorizado,entrada,13,51,6,0,0.03878114004604516
2025-05-13 14:23:26,ACCESS_GRANTED,Matheus Mota,18618418941,Portao C,Autorizado,entrada,14,23,1,0,0.06294431497366798
2025-05-13 14:29:26,ACCESS_GRANTED,Isabela Cristina Barros,90123456789,Portao C,Autorizado,entarda,14,29,1,0,-0.1308671603356274
2025-05-20 14:30:34,ACCESS_GRANTED,Ana Paula,12345678900,Portao B,Autorizado,entrada,14,30,1,0,0.06294431497366798
2025-05-20 15:03:18,ACCESS_GRANTED,Roberto,1122334455,Portao C,Autorizado,entrada,15,3,1,0,0.07323219072381082
2025-05-18 15:15:47,ACCESS_DENIED,Desconhecido,,Portao B,Ṇo autorizado,Desconhecido,15,15,6,1,-0.0815044446569878
2025-05-19 15:22:10,ACCESS_GRANTED,Julia Souza,9988776655,Portao A,Autorizado,saida,15,22,0,0,-0.07192783291495208
2025-05-17 16:05:59,ACCESS_GRANTED,Tiago Silva,7766554433,Portao C,Autorizado,entrada,16,5,5,0,0.027031960392065346
2025-05-20 16:15:22,ACCESS_GRANTED,Fernanda,4455667788,Portao B,Autorizado,entrada,16,15,1,0,0.07583373707402119
2025-05-19 17:40:26,ACCESS_GRANTED,Felipe Xavier Souza,67890123456,Portao C,Autorizado,saida,17,40,0,0,-0.06683911969348533
2025-05-18 17:33:44,ACCESS_DENIED,Desconhecido,,Portao A,Ṇo autorizado,Desconhecido,17,33,6,1,-0.07774857423272996
2025-05-20 17:50:31,ACCESS_GRANTED,Vinicius,1122112211,Portao B,Autorizado,entrada,17,50,1,0,0.07476603855588831
2025-05-19 18:17:23,ACCESS_GRANTED,Andre,6677889900,Portao A,Autorizado,entrada,18,17,0,0,0.030706743168761985
2025-05-18 18:25:14,ACCESS_GRANTED,Amanda,4433221100,Portao C,Autorizado,entrada,18,25,6,0,0.02170259527103341
2025-05-19 18:45:37,ACCESS_DENIED,Desconhecido,,Portao B,Ṇo autorizado,Desconhecido,18,45,0,1,-0.10385449113432843
2025-05-17 20:13:05,ACCESS_GRANTED,Eduardo,7788990011,Portao A,Autorizado,saida,20,13,5,0,-0.0860848943171374
2025-05-20 20:25:44,ACCESS_GRANTED,Natalia Antunes Cardoso,33445566778,Portao B,Autorizado,entrada,20,25,1,0,0.0585382310063316
2025-05-20 20:32:15,ACCESS_GRANTED,Camila,1010101010,Portao A,Autorizado,entrada,20,32,1,0,0.0585382310063316
2025-05-19 21:22:05,ACCESS_GRANTED,Leandro,2020202020,Portao B,Autorizado,entrada,21,22,0,0,0.017866990022514795
2025-05-18 21:10:41,ACCESS_DENIED,Ricardo Dias,3030303030,Portao A,Ṇo autorizado,data expirada,21,10,6,1,-0.14663384292576176
2025-05-17 21:05:22,ACCESS_GRANTED,Natalia Antunes Cardoso,33445566778,Portao C,Autorizado,entrada,21,5,5,0,0.0032276641427743114
2025-05-19 22:47:17,ACCESS_GRANTED,Bruno,5050505050,Portao A,Autorizado,entrada,22,47,0,0,-0.003227664142774256
2025-05-18 23:11:03,ACCESS_DENIED,Gustavo,6060606060,Portao C,Ṇo autorizado,cadastro ausente,23,11,6,1,-0.17660267221736914
2025-05-17 23:23:39,ACCESS_GRANTED,Rafaela,7070707070,Portao B,Autorizado,saida,23,23,5,1,-0.11240149870675997
2025-05-20 03:36:21,ACCESS_DENIED,Desconhecido,,Portao A,Ṇo autorizado,Desconhecido,3,36,1,1,-0.1189483814468083
2025-05-18 05:09:55,ACCESS_GRANTED,Wellington,8080808080,Portao C,Autorizado,entrada,5,9,6,0,-0.05957993213181967
